,address,m_edu,f_edu,m_job,f_job,failures,higher,romantic,age,absences
0,U,4.0,4.0,at_home,teacher,0.0,1,0,18,6.0
1,U,1.0,1.0,at_home,other,0.0,1,0,17,4.0
2,U,1.0,1.0,at_home,other,3.0,1,0,15,10.0
3,U,4.0,2.0,health,other,0.0,1,1,15,2.0
4,U,3.0,3.0,other,other,0.0,1,0,16,4.0
5,U,4.0,3.0,services,other,0.0,1,0,16,10.0
6,U,2.0,2.0,other,other,0.0,1,0,16,0.0
7,U,4.0,4.0,other,teacher,0.0,1,0,17,6.0
8,U,3.0,2.0,services,other,0.0,1,0,15,0.0
9,U,3.0,4.0,other,other,0.0,1,0,15,0.0
10,U,4.0,4.0,teacher,health,0.0,1,0,15,0.0
11,U,2.0,4.0,services,other,0.0,1,0,15,4.0
12,U,4.0,4.0,health,services,0.0,1,0,15,2.0
13,U,4.0,3.0,teacher,other,0.0,1,0,15,2.0
14,U,2.0,2.0,other,other,0.0,1,1,15,0.0
15,U,4.0,4.0,health,other,0.0,1,0,16,4.0
16,U,4.0,4.0,services,services,0.0,1,0,16,6.0
17,U,3.0,3.0,other,other,0.0,1,0,16,4.0
18,U,3.0,2.0,services,services,3.0,1,0,17,16.0
19,U,4.0,3.0,health,other,0.0,1,0,16,4.0
20,U,4.0,3.0,teacher,other,0.0,1,0,15,0.0
21,U,4.0,4.0,health,health,0.0,1,0,15,0.0
22,U,4.0,2.0,teacher,other,0.0,1,0,16,2.0
23,U,2.0,2.0,other,other,0.0,1,0,16,0.0
24,R,2.0,4.0,services,health,0.0,1,0,15,0.0
25,U,2.0,2.0,services,services,2.0,1,0,16,14.0
26,U,2.0,2.0,other,other,0.0,1,0,15,2.0
27,U,4.0,2.0,health,services,0.0,1,0,15,4.0
28,U,3.0,4.0,services,other,0.0,1,0,16,4.0
29,U,4.0,4.0,teacher,teacher,0.0,1,1,16,16.0
30,U,4.0,4.0,health,services,0.0,1,0,15,0.0
31,U,4.0,4.0,services,other,0.0,1,0,15,0.0
32,R,4.0,3.0,teacher,at_home,0.0,1,1,15,0.0
33,U,3.0,3.0,other,other,0.0,1,0,15,0.0
34,U,3.0,2.0,other,other,0.0,0,0,16,0.0
35,U,2.0,3.0,other,other,0.0,1,0,15,0.0
36,U,4.0,3.0,teacher,services,0.0,1,0,15,2.0
37,R,4.0,4.0,other,teacher,0.0,1,1,16,7.0
38,R,3.0,4.0,services,health,0.0,1,0,15,2.0
39,R,2.0,2.0,at_home,other,0.0,1,0,15,8.0
40,U,2.0,2.0,other,other,1.0,1,1,16,25.0
41,U,4.0,4.0,teacher,other,0.0,1,0,15,8.0
42,U,4.0,4.0,services,teacher,0.0,1,0,15,2.0
43,U,2.0,2.0,services,services,0.0,1,0,15,0.0
44,U,2.0,2.0,other,other,1.0,1,0,16,14.0
45,U,4.0,3.0,other,other,0.0,1,1,15,8.0
46,U,3.0,3.0,other,services,0.0,1,0,16,12.0
47,U,4.0,3.0,health,other,0.0,1,0,16,4.0
